Time_min,D16_micron,D50_micron,D84_micron
792.5,63.0311,91.7102,129.69
797.5,62.0769,89.4781,126.394
802.5,62.3387,90.8787,121.16
807.5,62.8712,90.889,127.871
812.5,62.6791,89.961,124.246
817.5,62.7147,90.4333,127.293
822.5,62.4178,91.2854,126.992
827.5,64.725,91.9596,126.167
832.5,64.7748,91.2646,125.82
837.5,64.1455,92.3191,126.747
842.5,63.6283,90.27,126.102
847.5,63.316,89.2187,124.055
852.5,64.4411,89.8143,123.656
857.5,63.6128,92.1773,129.524
862.5,62.0338,88.639,124.24
867.5,63.7845,89.7517,127.109
872.5,62.6079,90.6649,127.931
877.5,63.8161,92.2995,131.36
882.5,62.4527,91.0798,128.2
887.5,63.4839,89.9702,125.839
892.5,62.3096,90.0197,124.304
897.5,63.0596,90.8371,125.604
902.5,64.2234,91.4169,123.751
907.5,62.1759,89.6064,126.183
912.5,63.1672,90.9097,127.873
917.5,63.8347,92.5197,127.986
922.5,63.7413,90.0976,128.221
927.5,63.6699,92.2072,127.844
932.5,62.4739,91.3494,131.872
937.5,64.0124,90.8252,125.45
942.5,62.6365,90.8325,125.319
947.5,62.682,91.1782,127.888
952.5,62.1105,90.4224,124.783
957.5,60.8291,88.664,126.844
962.5,65.3448,93.1438,125.721
967.5,64.8868,92.4965,130.983
972.5,65.6604,94.092,132.944
977.5,61.2859,88.7832,121.887
982.5,64.0491,91.828,125.522
987.5,64.168,94.564,133.476
992.5,62.5177,89.0592,125.914
997.5,62.0542,88.8716,125.602
1002.5,63.2506,90.8815,131.916
1007.5,63.2366,90.7905,126.239
1012.5,63.4482,90.6433,127.194
1017.5,62.3696,87.2903,127.027
1022.5,61.4121,89.5606,122.317
1027.5,64.2628,90.6816,128.658
1032.5,61.8766,90.425,124.48
1037.5,62.7511,89.4614,125.254
1042.5,62.2838,90.3988,126.175
1047.5,61.8747,91.5017,129.822
1052.5,63.1861,89.6208,126.789
1057.5,64.3869,92.294,128.378
1062.5,63.1784,90.3471,131.018
1067.5,62.8374,89.3992,123.804
1072.5,63.1209,91.1123,128.513
1077.5,64.4283,91.7382,125.653
1082.5,65.2602,90.9295,126.372
1087.5,65.8732,93.4584,129.335
1092.5,64.8319,91.4708,125.903
1097.5,62.9975,89.7481,129.002
1102.5,64.29,91.323,129.841
1107.5,63.891,91.1555,129.749
1112.5,64.1427,90.3182,125.866
1117.5,64.0525,90.5079,126.217
1122.5,63.8904,89.9265,127.066
1127.5,63.3954,90.6402,126.991
1132.5,63.5591,93.1021,130.928
1137.5,66.4174,92.846,130.607
1142.5,64.0808,90.3861,127.03
1147.5,64.6773,91.7589,127.361
1152.5,62.8043,88.239,124.535
1157.5,63.2874,90.5849,130.828
1162.5,63.7767,91.0112,126.668
1167.5,63.6366,89.8108,129.713
1172.5,61.6852,90.0467,127.156
1177.5,61.5505,88.8939,127.228
1182.5,64.7942,92.9174,130.427
1187.5,64.5951,91.4401,128.513
1192.5,65.4581,93.9218,128.163
1197.5,63.9804,90.6564,128.739
1442.5,65.0068,92.8593,126.705
1447.5,64.4955,93.3735,129.961
1452.5,64.0182,90.9988,129.587
1457.5,65.5956,92.6487,128.788
1462.5,64.5704,92.4099,128.499
1467.5,65.8607,92.4877,130.32
1472.5,64.4739,90.7239,128.551
1477.5,63.702,93.7113,129.544
1482.5,63.3691,91.7182,128.302
1487.5,64.4518,91.7084,132.761
1492.5,65.2322,92.9344,130.961
1497.5,65.2176,92.8076,127.614
1502.5,67.3334,93.5972,128.021
1507.5,65.2619,94.7383,128.124
1512.5,65.5027,89.1667,124.758
1517.5,64.555,90.9524,128.046
1522.5,65.4146,93.7946,127.59
1527.5,65.2506,91.0841,127
1532.5,65.5331,91.7423,129.607
1537.5,63.6897,89.964,127.513
1542.5,67.0267,93.8164,129.788
1547.5,66.1579,91.859,129.327
1552.5,66.2408,93.1278,128.236
1557.5,65.4747,92.9032,133.8
1562.5,65.2936,92.0886,126.701
1567.5,63.8477,90.5077,130.366
1572.5,64.1041,90.7043,124.408
1577.5,65.7043,91.5401,131.965
1582.5,64.4666,92.1227,128.894
1587.5,65.8743,94.9774,133.781
1592.5,64.7692,93.3211,130.959
1597.5,62.928,90.2473,128.341
1602.5,66.164,93.1077,130.552
1607.5,66.4349,94.9909,129.649
1612.5,66.3341,91.487,128.175
1617.5,65.3572,90.2406,129.403
1742.5,65.3273,91.217,128.312
1747.5,66.3309,94.3832,127.829
1752.5,65.2222,92.5586,128.368
1757.5,66.8024,92.5643,130.302
1762.5,65.8473,92.5776,129.316
1767.5,66.1913,92.7786,128.096
1772.5,64.2048,92.1325,130.964
1777.5,67.5654,94.3079,131.523
1782.5,64.8087,92.1863,129.382
1787.5,65.3678,91.7721,129.187
1792.5,67.0264,93.6859,132.916
1797.5,66.6109,92.1644,130.118
1802.5,64.9482,91.7545,131.205
1807.5,66.6154,92.7725,130.245
1812.5,65.9616,94.0429,129.96
1817.5,65.1169,93.8449,134.524
1822.5,65.1664,92.7669,129.424
1827.5,64.8567,92.0831,128.946
1832.5,67.3011,93.3916,128.361
1837.5,65.6588,92.9527,127.998
1842.5,66.8532,97.7163,138.594
1847.5,66.0689,91.058,126.935
1852.5,66.1177,93.2272,131.329
1857.5,65.8335,93.3022,132.13
1862.5,66.1437,93.2091,129.937
1867.5,65.7306,93.4916,130.997
1872.5,65.2586,93.6752,130.759
1877.5,66.0535,93.3936,129.125
1882.5,66.2301,93.0862,132.943
1887.5,66.7043,95.3101,134.078
1892.5,66.3922,92.7996,131.814
1897.5,65.3712,95.2034,129.428
1902.5,65.9642,95.1191,128.842
1907.5,66.748,94.7643,133.427
1912.5,68.697,94.969,135.257
1917.5,66.9483,93.4656,131.16
